,country,year,simirality
164,Egypt,1923,0.9999995
165,Egypt,1956,0.31967276
166,Egypt,1971,0.41658214
167,Egypt,2012,0.1599533
168,Egypt,2014,0.20879589
169,El Salvador,1824,1.0000008
170,El Salvador,1841,0.4062701
171,El Salvador,1871,0.2940071
172,El Salvador,1872,0.27640337
173,El Salvador,1880,0.35469112
174,El Salvador,1883,0.22929461
175,El Salvador,1886,0.28809035
176,El Salvador,1939,0.32748586
177,El Salvador,1950,0.29454163
178,Equatorial Guinea,1968,1.0000001
179,Equatorial Guinea,1973,0.6274277
180,Equatorial Guinea,1982,0.46641007
181,Equatorial Guinea,1991,0.55006945
182,Eritrea,1997,1.0
183,Estonia,1920,1.0
184,Estonia,1937,0.043343727
185,Estonia,1978,0.002547476
186,Estonia,1992,0.015749505
187,Ethiopia,1931,0.9999998
188,Ethiopia,1955,0.9080268
189,Ethiopia,1987,0.14505464
190,Ethiopia,1994,0.1962997
191,Fiji,1970,0.9999892
192,Fiji,1990,0.896815
193,Fiji,1997,0.8516647
194,Fiji,2013,0.8098357
195,Finland,1919,0.99999946
196,Finland,1999,0.42779553
197,France,1791,1.0000021
198,France,1793,0.30334058
199,France,1795,0.08584011
200,France,1799,0.07739748
201,France,1802,0.029950785
202,France,1804,0.06229144
203,France,1814,0.37776604
204,France,1830,0.33485648
205,France,1848,0.16773704
206,France,1852,0.06067675
207,France,1875,0.047814026
208,France,1946,0.15852782
209,France,1958,0.050122168
210,Gabon,1961,1.0000006
211,Gabon,1975,0.5765909
212,Gabon,1991,0.5108448
213,Gambia,1970,1.0000006
214,Gambia,1996,0.8794259
215,Georgia,1995,1.0
216,Germany,1871,1.0
217,Germany,1919,0.6515072
218,Ghana,1954,0.9999996
219,Ghana,1957,0.40112522
220,Ghana,1960,0.06302797
221,Ghana,1969,0.060103245
222,Ghana,1992,0.050054606
223,Great Colombia,1821,0.99999934
224,Greece,1952,0.9999994
225,Greece,1968,0.6380999
226,Greece,1975,0.5231384
227,Grenada,1974,0.99999946
228,Guatemala,1879,0.9999999
229,Guatemala,1945,0.3887857
230,Guatemala,1956,0.4240275
231,Guatemala,1965,0.39696562
232,Guatemala,1985,0.3617394
233,Guinea,1958,1.0
234,Guinea,1982,0.45721334
235,Guinea,1990,0.48606366
236,Guinea,2010,0.22047666
237,Guinea Bissau,1973,1.0000001
238,Guinea Bissau,1984,0.43700272
239,Guinea Bissau,1996,0.69398075
240,Guyana,1966,1.0000017
241,Guyana,1970,0.9210986
242,Guyana,1980,0.9187577
243,Haiti,1801,1.0000006
244,Haiti,1805,0.049648397
245,Haiti,1806,0.048544142
246,Haiti,1811,0.047797933
247,Haiti,1889,0.14432493
248,Haiti,1950,0.13078609
249,Haiti,1964,0.03264147
250,Haiti,1983,0.048621356
251,Haiti,1987,0.034804262
252,Honduras,1839,1.0
253,Honduras,1848,0.45498988
254,Honduras,1880,0.33102894
255,Honduras,1894,0.23413666
256,Honduras,1904,0.19324566
257,Honduras,1924,0.24023502
258,Honduras,1936,0.19566421
259,Honduras,1957,0.16645013
260,Honduras,1982,0.20614982
261,Hungary,1919,0.9999992
262,Hungary,1920,0.10760768
263,Hungary,1946,0.1644776
264,Hungary,1949,0.20141117
265,Hungary,2011,0.10088843
266,Iceland,1874,0.99999994
267,Iceland,1920,0.075784266
268,Iceland,1944,0.8919291
269,India,1949,1.0000017
270,Indonesia,1945,1.0
271,Indonesia,2002,0.28296298
272,Iran,1906,1.0000002
273,Iran,1979,0.03732686
274,Iraq,1925,0.99999976
275,Iraq,2005,0.617657
276,Ireland,1922,1.0000001
277,Ireland,1937,0.79911906
278,Israel,1958,1.0
279,Italy,1848,1.0000004
280,Italy,1947,0.31231707
281,Jamaica,1962,1.0000004
282,Japan,1889,0.99999994
283,Japan,1946,0.47606564
284,Jordan,1946,1.0000001
285,Jordan,1952,0.58551717
286,Kazakhstan,1995,0.9999998
287,Kenya,1963,0.99999994
288,Kenya,2010,0.71498567
289,Kiribati,1979,0.99999976
290,Kosovo,2008,1.0
291,Kuwait,1962,0.9999999
292,Kyrgyz,1993,0.9999998
293,Kyrgyz,2007,0.3614378
294,Kyrgyz,2010,0.42104512
295,Laos,1947,1.0000005
296,Laos,1991,0.023044826
297,Latvia,1919,1.0
298,Latvia,1922,0.051312093
299,Latvia,1940,0.122388616
300,Latvia,1991,0.20686696
301,Lebanon,1926,0.99999994
302,Lesotho,1966,0.9999991
303,Lesotho,1983,0.8841209
304,Lesotho,1993,0.9392017
305,Liberia,1847,0.99999994
306,Liberia,1986,0.67294306
307,Libya,1951,0.9999996
308,Libya,2011,0.36774707
309,Liechtenstein,1818,0.99999994
310,Liechtenstein,1921,0.10259744
311,Lithuania,1922,1.0000001
312,Lithuania,1928,0.95695734
313,Lithuania,1938,0.9766461
314,Lithuania,1992,0.93011415
315,Luxembourg,1868,1.0000002
316,Macedonia,1991,1.0000006
317,Madagascar,1975,0.9999989
318,Madagascar,1992,0.34480432
319,Madagascar,1998,0.3358128
320,Madagascar,2010,0.33320773
321,Malawi,1964,0.99999964
322,Malawi,1966,0.83736813
323,Malawi,1994,0.80743396
324,Malaysia,1957,1.0
325,Maldives,1998,0.99999976
326,Maldives,2008,0.97965217
327,Mali,1969,0.99999994
328,Mali,1974,0.6898536
329,Mali,1992,0.4567155
330,Malta,1964,1.0000001
331,Marshall Islands,1979,0.99999994
332,Mauritania,1961,1.0000001
333,Mauritania,1978,0.3667073
334,Mauritania,1985,0.09553975
335,Mauritania,1991,0.4133509
336,Mauritius,1968,0.9999996
337,Mexico,1824,0.99999964
338,Mexico,1836,0.44288343
339,Mexico,1857,0.3664602
340,Mexico,1917,0.37215695
341,Micronesia,1981,0.99999964
342,Moldova,1978,1.0000002
343,Moldova,1994,0.0023823373
344,Monaco,1962,1.0000005
345,Mongolia,1924,0.99999994
346,Mongolia,1940,0.10929473
347,Mongolia,1960,0.06988325
348,Mongolia,1992,0.04480609
349,Montenegro,1905,0.9999981
350,Montenegro,1992,0.15065649
351,Montenegro,2007,0.1632098
352,Morocco,1962,0.99999994
353,Morocco,1970,0.5451344
354,Morocco,1972,0.7433686
355,Morocco,2011,0.4797872
356,Mozambique,1975,1.0
357,Mozambique,1990,0.7062546
358,Mozambique,2004,0.15986778
359,Myanmar,1947,1.0000004
360,Myanmar,1962,0.35438067
361,Myanmar,1974,0.06517571
362,Myanmar,2008,0.016521238
363,Namibia,1990,0.9999998
364,Nauru,1968,0.99999976
365,Nepal,1948,0.9999991
366,Nepal,1959,0.11404014
367,Nepal,1962,0.22011293
368,Nepal,1990,0.13712758
369,Nepal,2006,0.16513221
370,Netherlands,1795,0.9999999
371,Netherlands,1815,0.017274097
372,New zealand,1852,1.0000008
373,Nicaragua,1858,1.0000002
374,Nicaragua,1893,0.43723375
375,Nicaragua,1905,0.29891756
376,Nicaragua,1911,0.3680657
377,Nicaragua,1939,0.39382762
378,Nicaragua,1948,0.3593637
379,Nicaragua,1950,0.37543827
380,Nicaragua,1974,0.4090275
381,Nicaragua,1987,0.25666934
382,Niger,1960,1.0000002
383,Niger,1989,0.10433103
384,Niger,1992,0.35719427
385,Niger,1996,0.3944314
386,Niger,1999,0.42356455
387,Niger,2010,0.2597075
388,Nigeria,1960,1.0000018
389,Nigeria,1963,0.9696113
390,Nigeria,1978,0.83716434
391,Nigeria,1989,0.83886236
392,Nigeria,1999,0.7599881
393,North Korea,1948,1.0
394,North Korea,1972,0.22823422
395,North Korea,1998,0.52496356
396,Norway,1814,0.9999996
397,Oman,1996,0.9999995
398,Pakistan,1956,0.9999995
399,Pakistan,1962,0.88515544
400,Pakistan,1973,0.821418
401,Palau,1981,1.0000001
402,Panama,1904,1.0000002
403,Panama,1940,0.6054675
404,Panama,1946,0.19460338
405,Panama,1972,0.5004462
406,Papua New Guinea,1975,0.99999815
407,Paraguay,1813,1.0
408,Paraguay,1844,0.19261327
409,Paraguay,1870,0.15470725
410,Paraguay,1940,0.101134524
411,Paraguay,1967,0.082248926
412,Paraguay,1992,0.07660274
413,Peru,1822,0.9999998
414,Peru,1823,0.44510347
415,Peru,1826,0.116323516
416,Peru,1828,0.21622571
417,Peru,1839,0.22030383
418,Peru,1856,0.16840157
419,Peru,1860,0.21554804
420,Peru,1867,0.2022622
421,Peru,2009,0.16020991
422,Philippines,1899,0.9999996
423,Philippines,1935,0.36915833
424,Philippines,1943,0.23338446
425,Philippines,1973,0.15486084
426,Poland,1921,1.0
427,Poland,1935,0.039633673
428,Poland,1947,0.04906878
429,Poland,1952,0.12216616
430,Poland,1976,0.12498823
431,Poland,1992,0.13117687
432,Poland,1997,0.80448854
433,Portugal,1911,0.9999991
434,Portugal,1976,0.33601668
435,Qatar,2003,1.0
436,Romania,1948,1.0000001
437,Romania,1952,0.08954835
438,Romania,1965,0.05446004
439,Romania,1991,0.0063691977
440,Russia,1905,1.0
441,Russia,1918,0.17364079
442,Russia,1924,0.0063505066
443,Russia,1936,0.007950976
444,Russia,1977,0.0038175278
445,Russia,1993,0.3297472
446,Rwanda,1962,0.9999999
447,Rwanda,1978,0.38715163
448,Rwanda,2003,0.5971252
449,Saint Kitts and Nevis,1983,0.9999999
450,Saint Lucia,1978,1.0000001
451,Saint Vincent and the Grenadines,1979,0.99999994
452,Samoa,1962,0.9999965
453,Sao Tome and Principe,1975,1.0
454,Saudi Arabia,1926,1.0
455,Saudi Arabia,1992,0.37371716
456,Senegal,1963,1.0
457,Senegal,2001,0.5872234
458,Seychelles,1979,1.0000013
459,Seychelles,1993,0.8548754
460,Sierra Leone,1961,1.0000002
461,Sierra Leone,1978,0.89136577
462,Sierra Leone,1991,0.8782752
463,Singapore,1958,1.0000001
464,Slovakia,1992,1.0000001
465,Slovenia,1991,0.99999994
466,Solomon Islands,1978,1.0000002
467,Somalia,1960,1.0000005
468,Somalia,1979,0.30549914
469,Somalia,2012,0.14287616
470,South Africa,1961,1.0
471,South Africa,1983,0.6123875
472,South Africa,1993,0.54659754
473,South Africa,1996,0.45580152
474,South Korea,1948,1.0000004
475,South Korea,1987,0.36694953
476,South Sudan,2011,1.0
477,Spain,1808,1.0000002
478,Spain,1812,0.17567512
479,Spain,1834,0.14190064
480,Spain,1837,0.6467398
481,Spain,1845,0.16267063
482,Spain,1869,0.24989916
483,Spain,1876,0.37819856
484,Spain,1931,0.47013023
485,Spain,1967,0.09189392
486,Spain,1978,0.19007783
487,Sri Lanka,1931,0.99999964
488,Sri Lanka,1946,0.54820055
489,Sri Lanka,1972,0.11034467
490,Sri Lanka,1978,0.11919376
491,Sudan,1973,1.0000004
492,Sudan,1998,0.3793792
493,Sudan,2005,0.5129052
494,Suriname,1987,1.0
495,Swaziland,1968,0.9999935
496,Swaziland,2005,0.8492956
497,Sweden,1809,0.99999905
498,Sweden,1974,0.9170348
499,Switzerland,1848,1.0000006
500,Switzerland,1874,0.73593974
501,Switzerland,1999,0.81731427
502,Syria,1930,1.0000005
503,Syria,1950,0.5416728
504,Syria,1953,0.56543386
505,Syria,1973,0.2863153
506,Syria,2012,0.22378007
507,Taiwan,1947,1.0
508,Tajikistan,1994,1.0000001
509,Tanzania,1961,1.0
510,Tanzania,1962,0.8309177
511,Tanzania,1977,0.18303367
512,Tanzania,1985,0.091853485
513,Thailand,1932,1.0
514,Thailand,1949,0.15218998
515,Thailand,1968,0.48677814
516,Thailand,1974,0.45229605
517,Thailand,1976,0.27195814
518,Thailand,1978,0.48361754
519,Thailand,1997,0.41570476
520,Thailand,2007,0.21789543
521,Thailand,2014,0.19737272
522,Tibet,1991,1.0
523,Togo,1960,0.9999999
524,Togo,1979,0.79666394
525,Togo,1992,0.7209222
526,Tonga,1875,0.9999993
527,Trinidad and Tobago,1962,1.0
528,Trinidad and Tobago,1976,0.94287086
529,Tunisia,1959,1.0000001
530,Tunisia,2011,0.3626871
531,Tunisia,2014,0.40622255
532,Turkey,1876,0.9999995
533,Turkey,1921,0.08082239
534,Turkey,1924,0.09957452
535,Turkey,1945,0.25283673
536,Turkey,1961,0.18729906
537,Turkey,1982,0.10189043
538,Turkmenistan,1992,1.0
539,Turkmenistan,2008,0.42769015
540,Tuvalu,1978,0.9999995
541,Tuvalu,1986,0.94290364
542,Uganda,1967,0.999997
543,Uganda,1995,0.71557313
544,Ukraine,1978,1.0000058
545,Ukraine,1996,0.0
546,United Arab Emirates,1971,1.0
547,United states,1789,1.0000004
548,Uruguay,1830,1.0000001
549,Uruguay,1918,0.92907465
550,Uruguay,1952,0.11699681
551,Uruguay,1966,0.1439388
552,Uzbekistan,1992,1.0
553,Vanuatu,1979,0.9999997
554,Vanuatu,1980,0.9688165
555,Venezuela,1830,0.9999979
556,Venezuela,1858,0.51673776
557,Venezuela,1864,0.42238474
558,Venezuela,1874,0.3871147
559,Venezuela,1881,0.35824043
560,Venezuela,1891,0.32388458
561,Venezuela,1893,0.39969137
562,Venezuela,1901,0.30204564
563,Venezuela,1904,0.2848658
564,Venezuela,1909,0.34159413
565,Venezuela,1914,0.331059
566,Venezuela,1922,0.3255556
567,Venezuela,1925,0.2842333
568,Venezuela,1928,0.26462704
569,Venezuela,1929,0.27310234
570,Venezuela,1931,0.27532634
571,Venezuela,1936,0.27340323
572,Venezuela,1947,0.358891
573,Venezuela,1953,0.29040614
574,Venezuela,1961,0.30581126
575,Venezuela,1999,0.3208327
576,Vietnam,1960,0.99999994
577,Vietnam,1980,0.11457044
578,Vietnam,1992,0.109083004
579,Yemen Arab Republic,1970,0.9999999
580,Yemen Arab Republic,1991,0.0867112
581,Yugoslavia,1921,1.0000008
582,Yugoslavia,1931,0.2618175
583,Yugoslavia,1946,0.048332635
584,Yugoslavia,1953,0.049846172
585,Yugoslavia,1963,0.03432343
586,Yugoslavia,1974,0.040414914
587,Yugoslavia,1992,0.012850236
588,Yugoslavia,2003,0.042430688
589,Yugoslavia,2006,0.0708403
590,Zambia,1964,1.0000002
591,Zambia,1973,0.52509505
592,Zambia,1991,0.91373515
593,Zimbabwe,1965,0.99999803
594,Zimbabwe,1969,0.5251782
595,Zimbabwe,1979,0.077603705
596,Zimbabwe,2013,0.055547398
