,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
25,imperial,empire,reichstag,member,german,note,bundesrat,statute,federation,state,provision,emperor,year,far,concern,germany,army,common,railroad,administration
26,state,republic,assembly,people,law,right,citizen,national,supreme,social,power,economic,president,organ,development,work,duty,political,general,local
27,people,state,national,council,work,republic,law,right,assembly,organ,citizen,committee,socialist,art,elect,economic,level,local,deputy,congress
28,national,provincial,member,president,term,act,assembly,province,law,council,refer,government,function,person,parliament,legislature,commission,court,executive,party
29,federal,council,canton,union,art,right,law,confederation,member,legislation,authority,case,tribunal,citizen,emirates,duty,assembly,vote,provision,determine
30,tibetan,assembly,state,national,member,law,sri_lanka,provide,general,ministers,election,commission,justice,office,power,herzegovina,bosnia,administration,elect,local
31,state,law,member,act,parliament,council,court,legislature,provide,person,office,provision,assembly,right,president,nepal,house,party,legislative,commission
32,prince,skupshtina,art,state,prince_hospodar,principality,montenegro,minister,tribunal,montenegrin,communal,princely,control,commune,property,impost,aet,right,throne,complaint
33,law,national,president,member,court,state,assembly,republic,art,right,provision,government,council,accordance,year,afghanistan,case,duty,election,legislative
34,стаття,украінськоі_рср,та,рср,іх,срср,на,праці,для,громадян,депутатів,про,діяльності,які,до,життя,держави,за,також,іі
35,council,ministers,regulations,interior,royal,kingdom,king,minister,saudi_arabia,ministry,order,accordance,president,issue,saudi,decision,bureau,affair,regulation,agency
36,law,president,national,republic,state,court,right,council,public,government,assembly,member,constitutional,case,exercise,condition,organization,high,power,title
37,president,state,chamber,list,laws,senate,year,title,chambers,law,power,government,exercise,republic,order,cause,supreme,form,present,members
38,union,ssr,cec,republics,commissioner,commissioners,member,soviet,people,presidium,ccp,federal,supreme,soviets,nationalities,act,congress,organ,question,establish
39,president,law,congress,house,state,title,government,office,list,power,states,public,executive,year,vote,senate,case,session,representatives,election
40,state,court,person,assembly,office,house,national,president,law,member,government,provision,federation,nigeria,federal,appeal,commission,power,governor,election
41,russian,soviet,committee,executive,central,congress,soviets,socialist,county,republic,federated_soviet,worker,art,local,representative,purpose,commissars,rural,workers,urban
42,national,law,assembly,list,republic,right,court,stipulate,government,president,title,state,case,constitutional,armenia,office,elect,freedom,procedure,vote
43,council,assembly,majesty,act,member,aforesaid,law,time,government,state,par,new_zealand,macedonia,legislative,election,person,governor,authority,togolese,lawful
44,person,office,parliament,court,provision,member,law,act,public,president,commission,appoint,purpose,function,service,minister,hold,assembly,authority,power
45,rumanian,great,republic,ministry,people,work,region,hungarian,industry,assembly,disposition,mandate,small,democracy,sector,village,man,town,president,obligatory
46,state,law,member,person,regional,ghana,court,provision,parliament,council,government,list,purpose,office,federal,house,region,authority,power,public
47,paragraph,list,law,federal,president,state,union,republic,court,national,public,condition,government,accordance,district,year,judge,service,case,establish
48,law,court,president,republic,provision,paragraph,provide,public,member,council,person,parliament,government,case,rhodesia,right,judge,office,day,date
49,law,state,national,public,right,establish,person,accordance,social,guarantee,president,general,exercise,development,member,service,function,office,government,economic
50,art,law,chamber,member,government,state,provision,council,matter,deputy,case,right,session,election,riksdag,vote,present,court,decision,minister
51,law,state,right,council,republic,public,president,court,national,member,government,general,citizen,guarantee,freedom,term,office,constitutional,body,accordance
52,states,federal,national,law,venezuela,nation,public,congress,establish,venezuelan,legislative,chambers,ministers,case,united,power,president,venezuelans,district,act
53,rights_reserved,comparative,assembly,order,state,belize,law,governor,date,general,minister,provision,council,appoint,member,service,public,officer,person,office
54,state,law,ukraine,right,russian_federation,council,serbia,montenegro,rights_reserved,comparative,member,court,government,accordance,body,president,constitutional,establish,ministers,human
55,island,union,law,member,tome,principe,court,assembly,comoros,determine,president,constitutional,right,mlstp,comorian,organic,rights_reserved,comparative,exercise,islands
56,assembly,national,president,law,republic,council,member,government,state,minister,art,right,session,title,day,court,vote,power,people,public
57,majesty,member,council,law,house,order,service,person,provide,representatives,court,parliament,state,government,commonwealth,office,year,minister,commission,election
58,federal,confederation,cantons,art,tax,right,person,statute,title,government,parliament,provision,people,measure,transitory,account,revision,legislate,principle,traffic
59,art,colony,governor,assembly,order,central,general,cabinet,administration,good,nations,year,french,title,saint_domingue,tribunal,peaslee,heinonline_amos,colonial,form
60,council,union,state,soviet,ussr,people,supreme,deputy,socialist,citizen,right,republic,member,law,committee,elect,work,soviets,ministers,party
61,стаття,украінськоі_рср,та,на,до,громадян,іх,за,рср,для,срср,депутатів,держава,про,праці,іі,також,які,не,конституція_украінськоі
62,republic,azerbaijan,law,title,right,president,state,court,yuan,power,executive,cabinet,constitutional,specify,ministers,citizen,present,nakhichevan_autonomous,procurator,freedom
63,law,cortes,government,assembly,deputy,person,year,public,case,court,title,number,council,order,list,power,king,state,time,appoint
64,federal,organization,work,social,community,right,yugoslavia,self,assembly,statute,chamber,political,people,management,socialist,republic,law,council,agency,court
65,art,chamber,right,law,assembly,member,general,vote,power,state,case,president,executive,bosnia,court,organization,year,office,стаття,tribunal
66,person,office,member,court,provision,law,act,public,general,house,appoint,minister,parliament,commission,governor,function,assembly,hold,purpose,authority
67,parliament,act,uzbekistan,government,right,lay,matter,proposal,parliamentary,finland,decision,minister,president,oliy_majlis,session,committee,authority,provision,procedure,chancellor
68,title,list,national,state,government,law,president,commission,right,accordance,southern_sudan,service,level,council,people,republic,assembly,member,legislative,function
69,assembly,filipino,government,jose,philippine,philippines,president,special,commission,accordance,law,duly,permanent,title,representatives,republic,approve,convoke,del_rosario,right
70,body,french,legislative,member,senate,chamber,council,department,present,year,citizen,electoral,law,appoint,state,france,consul,college,deputy,commissioner
71,republic,state,ussr,right,organization,soviet,social,law,power,federal,supreme,people,work,art,president,community,socialist,union,council,executive
72,law,tobago,trinidad,jogorku_kenesh,court,state,government,republic,president,kyrgyz,right,local,deputy,citizen,power,procedure,sec,body,supreme,case
73,law,turkmenistan,state,art,list,right,paragraph,туркменистана,title,power,president,member,case,на,national,year,government,court,popular,citizen
74,law,republic,power,president,case,executive,year,public,congress,order,state,exercise,right,deputy,court,person,elect,election,decree,authority
